graph,seed,INF,time
graph1,"[{},{154,28}]",42.85,4.597093
graph1,"[{},{154,28}]",44.95,4.627458
graph1,"[{118},{154}]",60.86,6.06289
graph1,"[{},{154,28}]",44.39,4.583028
graph1,"[{},{154,28}]",45.98,4.657887
graph1,"[{118},{154}]",59.02,6.216218
graph1,"[{},{154,28}]",44.62,4.79108
graph1,"[{118},{154}]",59.11,6.271206
graph1,"[{},{154,28}]",44.58,4.79319
graph1,"[{},{154,28}]",44.44,4.601126
graph1,"[{16},{50}]",27.43,19.260226
graph1,"[{52},{62}]",16.54,19.26148
graph1,"[{74},{42}]",21.75,19.3322
graph1,"[{81},{61}]",24.98,20.212546
graph1,"[{205},{130}]",20.24,20.151573
graph1,"[{190},{72}]",13.34,19.182788
graph1,"[{238},{209}]",26.89,19.446513
graph1,"[{66},{235}]",21.25,19.344831
graph1,"[{178},{157}]",19.05,20.129746
graph1,"[{202},{188}]",8.65,19.495541
graph1,"[{178},{29}]",21.53,19.860342
graph1,"[{153},{65}]",30.35,18.957048
graph1,"[{8},{195}]",23.02,19.266289
graph1,"[{44},{109}]",23.73,19.040704
graph1,"[{123},{219}]",19.88,18.893532
graph1,"[{102},{184}]",14.66,18.877669
graph1,"[{208},{69}]",17.59,19.198541
graph1,"[{24},{236}]",9.61,18.959824
graph1,"[{38},{58}]",30.87,19.122451
graph1,"[{85},{218}]",17.08,18.967947
graph1,"[{132},{28}]",41.52,19.220473
graph1,"[{82},{63}]",23.77,19.062725
graph1,"[{83},{20}]",13.68,18.874601
graph1,"[{44},{238}]",24.49,19.471939
graph1,"[{208},{126}]",19.71,20.064519
graph1,"[{6},{153}]",27.97,19.169348
graph1,"[{95},{226}]",17.45,19.112417
graph1,"[{93},{71}]",14.93,18.986612
graph1,"[{116},{92}]",25.79,19.177344
graph1,"[{163},{54}]",32.04,19.171177
graph2,"[{170,27},{}]",56.82,4.59879
graph2,"[{170,27},{}]",54.99,4.75261
graph2,"[{170,27},{}]",54.21,4.639698
graph2,"[{170,27},{}]",55.84,4.909085
graph2,"[{170,27},{}]",55.62,4.809737
graph2,"[{170,27},{}]",56.29,4.738756
graph2,"[{170,27},{}]",57.24,4.938763
graph2,"[{170,27},{}]",55.39,5.134638
graph2,"[{170,27},{}]",56.72,4.831576
graph2,"[{170,27},{}]",54.63,4.949396
graph2,"[{73},{181}]",18.11,19.401131
graph2,"[{145},{143}]",15.58,19.282808
graph2,"[{87},{39}]",26.08,19.299231
graph2,"[{222},{225}]",15.79,19.408194
graph2,"[{165},{120}]",33.37,19.324373
graph2,"[{57},{170}]",32.97,19.239011
graph2,"[{52},{219}]",13.11,20.170851
graph2,"[{188},{32}]",18.12,21.598847
graph2,"[{212},{58}]",19.53,20.92375
graph2,"[{146},{4}]",25.93,20.893357
graph2,"[{23},{72}]",24.32,20.695993
graph2,"[{135},{40}]",30.32,20.388352
graph2,"[{176},{20}]",10.53,21.196158
graph2,"[{133},{93}]",16.87,20.673294
graph2,"[{1},{66}]",8.94,21.376238
graph2,"[{108},{54}]",8.49,20.110444
graph2,"[{32},{161}]",24.35,21.032636
graph2,"[{58},{169}]",18.05,21.5144
graph2,"[{145},{13}]",15.77,21.300805
graph2,"[{124},{106}]",19.0,21.014775
graph2,"[{182},{48}]",24.88,20.96302
graph2,"[{82},{39}]",25.28,21.259109
graph2,"[{119},{156}]",31.54,21.370346
graph2,"[{59},{193}]",30.31,20.091659
graph2,"[{98},{180}]",23.68,19.9723
graph2,"[{121},{224}]",14.34,20.209403
graph2,"[{139},{115}]",37.93,19.596694
graph2,"[{73},{109}]",13.88,19.714666
graph2,"[{16},{139}]",30.98,20.305752
graph2,"[{162},{215}]",13.1,20.289749
graph3,"[{203},{70}]",52.44,6.071207
graph3,"[{203},{70}]",50.32,5.98328
graph3,"[{203},{70}]",52.02,6.017828
graph3,"[{203},{70}]",53.69,6.769542
graph3,"[{},{70,12}]",43.03,4.924056
graph3,"[{},{70,7}]",45.03,5.061764
graph3,"[{203},{70}]",53.42,6.823947
graph3,"[{},{7,70}]",45.76,4.736751
graph3,"[{},{7,70}]",44.53,4.688851
graph3,"[{},{70,12}]",43.8,4.936661
graph3,"[{144},{197}]",25.62,20.09883
graph3,"[{51},{178}]",26.31,20.055479
graph3,"[{46},{162}]",14.09,21.074702
graph3,"[{26},{43}]",11.58,20.191152
graph3,"[{202},{237}]",27.66,20.1394
graph3,"[{239},{243}]",17.37,20.85212
graph3,"[{6},{189}]",12.82,21.035035
graph3,"[{81},{113}]",20.38,20.295891
graph3,"[{31},{105}]",8.15,20.552847
graph3,"[{227},{16}]",35.49,20.781452
graph3,"[{148},{87}]",26.85,20.309328
graph3,"[{236},{132}]",15.49,20.230279
graph3,"[{178},{130}]",23.79,20.479983
graph3,"[{222},{67}]",21.45,20.71072
graph3,"[{79},{98}]",32.61,20.618949
graph3,"[{36},{35}]",18.67,20.404902
graph3,"[{144},{161}]",29.73,20.477883
graph3,"[{119},{111}]",6.82,20.212894
graph3,"[{117},{215}]",24.18,20.469151
graph3,"[{201},{189}]",12.11,20.308307
graph3,"[{30},{37}]",28.64,20.445066
graph3,"[{196},{109}]",21.48,20.334779
graph3,"[{84},{177}]",34.24,20.73761
graph3,"[{99},{72}]",15.4,20.301524
graph3,"[{13},{140}]",18.57,20.607897
graph3,"[{10},{73}]",18.13,20.547179
graph3,"[{7},{124}]",36.35,21.350247
graph3,"[{115},{148}]",26.62,21.5035
graph3,"[{177},{25}]",24.39,21.265031
graph3,"[{134},{188}]",26.85,21.179137
