graph,seed,INF,time
graph2,"[{170,27},{}]",56.82,4.59879
graph2,"[{170,27},{}]",54.99,4.75261
graph2,"[{170,27},{}]",54.21,4.639698
graph2,"[{170,27},{}]",55.84,4.909085
graph2,"[{170,27},{}]",55.62,4.809737
graph2,"[{170,27},{}]",56.29,4.738756
graph2,"[{170,27},{}]",57.24,4.938763
graph2,"[{170,27},{}]",55.39,5.134638
graph2,"[{170,27},{}]",56.72,4.831576
graph2,"[{170,27},{}]",54.63,4.949396
graph2,"[{73},{181}]",18.11,19.401131
graph2,"[{145},{143}]",15.58,19.282808
graph2,"[{87},{39}]",26.08,19.299231
graph2,"[{222},{225}]",15.79,19.408194
graph2,"[{165},{120}]",33.37,19.324373
graph2,"[{57},{170}]",32.97,19.239011
graph2,"[{52},{219}]",13.11,20.170851
graph2,"[{188},{32}]",18.12,21.598847
graph2,"[{212},{58}]",19.53,20.92375
graph2,"[{146},{4}]",25.93,20.893357
graph2,"[{23},{72}]",24.32,20.695993
graph2,"[{135},{40}]",30.32,20.388352
graph2,"[{176},{20}]",10.53,21.196158
graph2,"[{133},{93}]",16.87,20.673294
graph2,"[{1},{66}]",8.94,21.376238
graph2,"[{108},{54}]",8.49,20.110444
graph2,"[{32},{161}]",24.35,21.032636
graph2,"[{58},{169}]",18.05,21.5144
graph2,"[{145},{13}]",15.77,21.300805
graph2,"[{124},{106}]",19.0,21.014775
graph2,"[{182},{48}]",24.88,20.96302
graph2,"[{82},{39}]",25.28,21.259109
graph2,"[{119},{156}]",31.54,21.370346
graph2,"[{59},{193}]",30.31,20.091659
graph2,"[{98},{180}]",23.68,19.9723
graph2,"[{121},{224}]",14.34,20.209403
graph2,"[{139},{115}]",37.93,19.596694
graph2,"[{73},{109}]",13.88,19.714666
graph2,"[{16},{139}]",30.98,20.305752
graph2,"[{162},{215}]",13.1,20.289749
