graph,seed,INF,time
graph1,"[(), (7,)]",37.081,0.0
graph1,"[(183,), (7,)]",61.776,12.74
graph1,"[(183,), (7, 16)]",75.94,165.05
graph1,"[(183, 86), (7, 16)]",88.328,232.18
graph1,"[(183, 86, 181), (7, 16)]",96.987,461.73
graph1,"[(183, 86, 181, 178), (7, 16)]",104.236,587.6600000000001
graph1,"[(183, 86, 181, 178), (7, 16, 124)]",110.76,687.0400000000001
graph1,"[(183, 86, 181, 178), (7, 16, 124, 48)]",115.723,832.5600000000001
graph1,"[(183, 86, 181, 178), (7, 16, 124, 48, 68)]",119.644,941.2
graph1,"[(183, 86, 181, 178, 8), (7, 16, 124, 48, 68)]",124.087,1000.55
graph1,"[(173,), ()]",17.93,1.850128
graph1,"[(187,), ()]",16.15,1.69863
graph1,"[(165,), ()]",14.17,1.80028
graph1,"[(192,), (173,)]",25.26,2.935071
graph1,"[(51,), (171,)]",26.31,2.859967
graph1,"[(77,), (162,)]",13.93,1.951173
graph1,"[(21, 199), (79,)]",25.29,2.838828
graph1,"[(172, 39), (5,)]",29.15,3.134696
graph1,"[(17, 159), (6,)]",13.77,1.865538
graph1,"[(147, 107), (139, 83)]",32.55,3.394755
graph1,"[(119, 94), (200, 95)]",48.95,4.30352
graph1,"[(176, 169), (155, 62)]",46.47,4.250919
graph1,"[(197, 171, 66), (169, 60)]",31.22,2.935805
graph1,"[(206, 197, 196), (62, 107)]",40.47,3.837424
graph1,"[(109, 118, 146), (17, 149)]",25.77,2.789704
graph1,"[(149, 24, 69), (120, 4, 57)]",46.26,4.117772
graph1,"[(4, 147, 149), (126, 139, 127)]",40.28,3.693956
graph1,"[(69, 147, 199), (159, 135, 23)]",52.48,4.438771
graph1,"[(179, 46, 79, 80), (170, 92, 105)]",64.96,4.93021
graph1,"[(60, 137, 59, 0), (81, 172, 198)]",34.3,3.179066
graph1,"[(128, 207, 174, 111), (122, 53, 34)]",35.12,3.364658
graph1,"[(99, 95, 119, 158), (153, 13, 18, 56)]",68.06,5.155205
graph1,"[(166, 7, 70, 85), (57, 126, 172, 92)]",69.92,5.05549
graph1,"[(47, 1, 96, 39), (173, 178, 60, 175)]",62.03,4.817627
graph1,"[(203, 100, 159, 125, 1), (178, 31, 123, 24)]",61.08,4.756388
graph1,"[(160, 209, 86, 68, 110), (194, 165, 136, 98)]",94.1,5.818129
graph1,"[(34, 96, 92, 199, 45), (71, 54, 196, 133)]",54.88,4.396988
graph1,"[(73, 0, 125, 45, 209), (118, 112, 178, 15, 99)]",75.46,5.191486
graph1,"[(174, 10, 48, 127, 13), (105, 190, 39, 33, 147)]",80.91,5.494052
graph1,"[(86, 20, 136, 29, 21), (77, 127, 22, 124, 56)]",87.12,5.620273
graph2,"[(), (194,)]",29.918,0.0
graph2,"[(147,), (194,)]",57.241,7.08
graph2,"[(147,), (194, 171)]",71.092,148.59
graph2,"[(147, 193), (194, 171)]",82.757,238.68
graph2,"[(147, 193, 82), (194, 171)]",94.454,274.04
graph2,"[(147, 193, 82), (194, 171, 28)]",102.438,463.1
graph2,"[(147, 193, 82), (194, 171, 28, 163)]",108.826,591.48
graph2,"[(147, 193, 82), (194, 171, 28, 163, 23)]",113.95,712.84
graph2,"[(147, 193, 82), (194, 171, 28, 163, 23, 124)]",119.178,727.11
graph2,"[(147, 193, 82, 177), (194, 171, 28, 163, 23, 124)]",123.078,863.06
graph2,"[(38,), ()]",3.58,0.683507
graph2,"[(33,), ()]",5.4,0.861764
graph2,"[(132,), ()]",5.6,1.018816
graph2,"[(52,), (32,)]",17.37,2.119187
graph2,"[(115,), (154,)]",21.79,2.527682
graph2,"[(182,), (12,)]",31.56,3.310451
graph2,"[(141, 31), (120,)]",37.98,3.72748
graph2,"[(200, 133), (210,)]",23.84,2.643649
graph2,"[(150, 79), (174,)]",24.6,2.802104
graph2,"[(29, 35), (8, 155)]",33.0,3.309768
graph2,"[(93, 184), (73, 182)]",39.25,3.711694
graph2,"[(186, 108), (46, 20)]",46.13,4.127176
graph2,"[(198, 83, 17), (93, 119)]",40.44,3.695802
graph2,"[(138, 97, 24), (150, 12)]",36.22,3.434926
graph2,"[(163, 10, 106), (50, 43)]",49.56,4.328624
graph2,"[(170, 12, 111), (199, 104, 140)]",54.56,4.481984
graph2,"[(9, 33, 88), (129, 111, 214)]",28.59,2.891537
graph2,"[(153, 115, 185), (106, 37, 126)]",35.52,3.3325
graph2,"[(33, 100, 4, 29), (3, 118, 212)]",43.9,3.866893
graph2,"[(118, 195, 39, 183), (166, 216, 156)]",51.18,4.184411
graph2,"[(43, 72, 173, 21), (174, 44, 86)]",43.92,3.857594
graph2,"[(188, 36, 129, 77), (207, 202, 85, 95)]",49.23,4.053139
graph2,"[(124, 79, 41, 215), (213, 87, 156, 78)]",70.29,5.099084
graph2,"[(55, 73, 98, 28), (81, 29, 4, 208)]",69.75,5.108421
graph2,"[(5, 41, 56, 206, 186), (128, 216, 16, 147)]",74.9,5.257441
graph2,"[(43, 92, 161, 102, 114), (51, 8, 163, 86)]",79.16,5.371866
graph2,"[(152, 42, 29, 108, 189), (143, 180, 65, 195)]",76.13,5.198053
graph2,"[(39, 3, 112, 184, 40), (122, 211, 186, 99, 85)]",75.85,5.164994
graph2,"[(192, 202, 214, 93, 51), (8, 37, 4, 40, 157)]",71.5,5.087049
graph2,"[(13, 54, 133, 44, 80), (205, 22, 118, 126, 97)]",62.97,4.730806
graph3,"[(27,), ()]",28.302,0.0
graph3,"[(27,), (78,)]",51.264,5.92
graph3,"[(27,), (78, 175)]",65.836,97.6
graph3,"[(27, 106), (78, 175)]",76.584,214.2
graph3,"[(27, 106), (78, 175, 75)]",86.96,297.01
graph3,"[(27, 106, 204), (78, 175, 75)]",94.504,432.0
graph3,"[(27, 106, 204), (78, 175, 75, 8)]",100.63,528.59
graph3,"[(27, 106, 204), (78, 175, 75, 8, 111)]",105.661,614.27
graph3,"[(27, 106, 204, 96), (78, 175, 75, 8, 111)]",111.219,726.54
graph3,"[(27, 106, 204, 96), (78, 175, 75, 8, 111, 136)]",115.327,775.74
graph3,"[(22,), ()]",5.91,0.947263
graph3,"[(173,), ()]",6.88,1.072686
graph3,"[(0,), ()]",3.53,0.76065
graph3,"[(156,), (133,)]",7.95,1.421633
graph3,"[(33,), (165,)]",17.95,2.300407
graph3,"[(79,), (28,)]",15.04,1.889568
graph3,"[(61, 102), (26,)]",18.5,2.233093
graph3,"[(30, 92), (127,)]",25.46,2.596499
graph3,"[(90, 191), (16,)]",27.35,2.983147
graph3,"[(92, 27), (120, 192)]",48.38,4.211651
graph3,"[(19, 67), (198, 119)]",38.8,3.674913
graph3,"[(82, 113), (75, 100)]",44.37,3.916645
graph3,"[(132, 175, 100), (151, 105)]",46.49,4.065797
graph3,"[(98, 34, 91), (176, 79)]",36.73,3.465238
graph3,"[(171, 83, 62), (117, 100)]",43.47,3.796004
graph3,"[(143, 74, 164), (64, 179, 14)]",48.78,4.08434
graph3,"[(13, 66, 196), (180, 125, 178)]",42.77,3.568658
graph3,"[(60, 41, 113), (181, 129, 3)]",33.98,3.244888
graph3,"[(145, 32, 187, 177), (109, 103, 25)]",45.65,4.011231
graph3,"[(110, 147, 106, 119), (17, 48, 75)]",67.56,4.970716
graph3,"[(103, 130, 136, 73), (67, 65, 133)]",50.04,4.143847
graph3,"[(164, 5, 49, 136), (126, 36, 78, 83)]",75.04,4.957602
graph3,"[(183, 189, 20, 32), (39, 117, 101, 10)]",51.68,4.174888
graph3,"[(135, 172, 16, 2), (70, 134, 132, 157)]",40.57,3.613232
graph3,"[(55, 84, 120, 132, 32), (158, 153, 195, 146)]",66.72,4.780733
graph3,"[(171, 124, 58, 116, 127), (159, 94, 185, 101)]",58.19,4.476714
graph3,"[(11, 137, 187, 33, 13), (79, 168, 197, 136)]",64.84,4.622896
graph3,"[(4, 198, 165, 169, 161), (102, 138, 59, 20, 195)]",61.61,4.548129
graph3,"[(59, 192, 180, 152, 77), (64, 150, 99, 142, 121)]",64.72,4.725343
graph3,"[(1, 69, 20, 44, 128), (60, 24, 83, 85, 101)]",52.54,4.047391
graph4,"[(60,), ()]",30.908,0.0
