graph,seed,INF,time
graph15,"[(162,), ()]",38.656,0.0
graph15,"[(162,), (76,)]",60.31,19.85
graph15,"[(162, 203), (76,)]",76.524,87.53999999999999
graph15,"[(162, 203), (76, 218)]",88.621,228.31
graph15,"[(162, 203), (76, 218, 213)]",98.458,370.22
graph15,"[(162, 203, 207), (76, 218, 213)]",104.504,682.98
graph15,"[(162, 203, 207), (76, 218, 213, 58)]",110.352,695.97
graph15,"[(162, 203, 207), (76, 218, 213, 58, 154)]",115.896,773.58
graph15,"[(162, 203, 207, 86), (76, 218, 213, 58, 154)]",120.23,858.7900000000001
graph15,"[(162, 203, 207, 86, 178), (76, 218, 213, 58, 154)]",124.227,896.98
graph15,"[(50,), ()]",10.36,1.3733
graph15,"[(127,), ()]",7.75,1.058724
graph15,"[(196,), ()]",4.7,0.837286
graph15,"[(48,), (171,)]",19.02,2.360812
graph15,"[(14,), (152,)]",20.47,2.469532
graph15,"[(209,), (216,)]",12.64,1.775839
graph15,"[(210, 51), (64,)]",21.18,2.528762
graph15,"[(71, 84), (81,)]",31.41,3.242025
graph15,"[(82, 2), (143,)]",32.32,3.383339
graph15,"[(55, 24), (202, 179)]",34.83,3.385255
graph15,"[(109, 174), (151, 196)]",20.17,2.33686
graph15,"[(75, 202), (217, 99)]",28.69,3.050849
graph15,"[(95, 7, 33), (206, 42)]",43.78,4.1742
graph15,"[(94, 48, 20), (92, 193)]",49.8,4.078289
graph15,"[(162, 104, 37), (97, 221)]",66.89,4.94464
graph15,"[(183, 207, 122), (190, 194, 188)]",48.73,4.182043
graph15,"[(86, 0, 18), (213, 195, 31)]",65.07,4.895695
graph15,"[(153, 90, 112), (161, 55, 69)]",54.59,4.479213
graph15,"[(191, 199, 151, 37), (49, 57, 190)]",61.12,4.786804
graph15,"[(121, 222, 220, 50), (193, 116, 211)]",37.17,3.388144
graph15,"[(192, 122, 18, 5), (64, 82, 157)]",46.66,4.10247
graph15,"[(29, 122, 31, 170), (97, 98, 204, 15)]",41.3,3.637571
graph15,"[(153, 180, 23, 26), (69, 132, 56, 117)]",46.04,3.909553
graph15,"[(86, 63, 109, 150), (159, 205, 118, 177)]",61.06,4.657007
graph15,"[(195, 209, 123, 153, 13), (213, 6, 200, 85)]",73.59,5.108349
graph15,"[(86, 161, 174, 144, 212), (42, 12, 106, 170)]",86.71,5.603576
graph15,"[(220, 176, 82, 204, 135), (212, 85, 72, 3)]",57.49,4.502936
graph15,"[(17, 68, 58, 43, 180), (24, 189, 90, 207, 130)]",81.99,5.186466
graph15,"[(109, 155, 49, 138, 82), (149, 156, 56, 14, 21)]",54.27,4.310911
graph15,"[(100, 199, 169, 172, 15), (190, 2, 175, 21, 26)]",61.8,4.561115
