graph,seed,INF,time
graphs_data/graph1.csv,"[(), (185,)]",31.055,0.0
graphs_data/graph1.csv,"[(87,), (185,)]",55.223,6.07
graphs_data/graph1.csv,"[(87, 9), (185,)]",68.274,128.57
graphs_data/graph1.csv,"[(87, 9), (185, 156)]",79.24,179.22
graphs_data/graph1.csv,"[(87, 9, 190), (185, 156)]",89.733,191.97
graphs_data/graph1.csv,"[(87, 9, 190), (185, 156, 51)]",97.934,275.57
graphs_data/graph1.csv,"[(87, 9, 190, 158), (185, 156, 51)]",103.776,404.69
graphs_data/graph1.csv,"[(87, 9, 190, 158), (185, 156, 51, 180)]",108.686,511.42
graphs_data/graph1.csv,"[(87, 9, 190, 158, 12), (185, 156, 51, 180)]",113.64,529.37
graphs_data/graph1.csv,"[(87, 9, 190, 158, 12, 170), (185, 156, 51, 180)]",117.112,565.69
graphs_data/graph1.csv,"[(87, 9, 190, 158, 12, 170), (185, 156, 51, 180, 118)]",121.547,570.57
