graph,seed,INF,time
graph250,"[(), (3,)]",10.1,1.94
graph250,"[(8,), (3,)]",14.06,5.58
graph250,"[(8, 17), (3,)]",15.07,10.32
graph250,"[(8, 17), (3, 12)]",16.04,15.010000000000002
graph250,"[(8, 17), (3, 12, 15)]",16.59,19.17
graph250,"[(8, 17, 14), (3, 12, 15)]",17.15,23.1
graph250,"[(8, 17, 14, 16), (3, 12, 15)]",17.58,26.64
graph250,"[(8, 17, 14, 16), (3, 12, 15, 4)]",17.81,29.96
graph250,"[(8, 17, 14, 16, 10), (3, 12, 15, 4)]",18.59,32.910000000000004
graph250,"[(8, 17, 14, 16, 10), (3, 12, 15, 4, 9)]",18.65,35.5
graph250,"[(8, 17, 14, 16, 10), (3, 12, 15, 4, 9, 7)]",18.85,37.92
