graph,seed,INF,time
graph250,"[(), (3,)]",9.916,0.0
graph250,"[(17,), (3,)]",13.842,29.61
graph250,"[(17,), (3, 4)]",15.104,70.42
graph250,"[(17, 19), (3, 4)]",15.951,86.88
graph250,"[(17, 19, 14), (3, 4)]",16.768,88.11999999999999
graph250,"[(17, 19, 14), (3, 4, 12)]",17.379,105.00999999999999
graph250,"[(17, 19, 14), (3, 4, 12, 16)]",17.738,127.99999999999999
graph250,"[(17, 19, 14, 9), (3, 4, 12, 16)]",18.043,136.16
graph250,"[(17, 19, 14, 9), (3, 4, 12, 16, 13)]",18.346,147.60999999999999
graph250,"[(17, 19, 14, 9, 8), (3, 4, 12, 16, 13)]",18.604,152.11999999999998
graph250,"[(17, 19, 14, 9, 8, 0), (3, 4, 12, 16, 13)]",18.888,155.43999999999997
