graph,seed,INF,time
graph250,"[(), (3,)]",9.784,0.0
graph250,"[(17,), (3,)]",13.751,22.19
graph250,"[(17, 19), (3,)]",15.037,62.72
graph250,"[(17, 19, 14), (3,)]",16.025,80.74
graph250,"[(17, 19, 14), (3, 12)]",16.859,90.71
graph250,"[(17, 19, 14), (3, 12, 4)]",17.411,117.47999999999999
graph250,"[(17, 19, 14, 9), (3, 12, 4)]",17.754,132.76999999999998
graph250,"[(17, 19, 14, 9, 16), (3, 12, 4)]",18.073,138.82
graph250,"[(17, 19, 14, 9, 16, 8), (3, 12, 4)]",18.334,141.31
graph250,"[(17, 19, 14, 9, 16, 8), (3, 12, 4, 13)]",18.565,145.9
graph250,"[(17, 19, 14, 9, 16, 8, 15), (3, 12, 4, 13)]",18.835,147.02
