graph,seed,INF,time
graph250,"[(), (15,)]",3.4,0.536367
graph250,"[(8,), (15,)]",8.15,1.053879
graph250,"[(8, 10), (15,)]",9.48,1.085715
graph250,"[(8, 10, 5), (15,)]",11.01,1.073117
graph250,"[(8, 10, 5, 11), (15,)]",11.65,1.124209
graph250,"[(8, 10, 5, 11, 2), (15,)]",12.37,1.171705
graph250,"[(8, 10, 5, 11, 2, 18), (15,)]",13.69,1.121915
graph250,"[(8, 10, 5, 11, 2, 18, 19), (15,)]",14.46,1.078321
graph250,"[(8, 10, 5, 11, 2, 18, 19, 17), (15,)]",15.63,1.101419
graph250,"[(8, 10, 5, 11, 2, 18, 19, 17, 3), (15,)]",16.41,1.012003
graph250,"[(), (14,)]",5.12,0.645249
graph250,"[(17,), (14,)]",11.01,1.241899
graph250,"[(17, 8), (14,)]",12.86,1.300625
graph250,"[(17, 8, 10), (14,)]",13.34,1.350407
graph250,"[(17, 8, 10, 2), (14,)]",13.84,1.315631
graph250,"[(17, 8, 10, 2, 3), (14,)]",15.22,1.243429
graph250,"[(17, 8, 10, 2, 3, 18), (14,)]",15.92,1.171139
graph250,"[(17, 8, 10, 2, 3, 18, 16), (14,)]",16.49,1.166203
graph250,"[(17, 8, 10, 2, 3, 18, 16, 9), (14,)]",16.98,1.152425
graph250,"[(17, 8, 10, 2, 3, 18, 16, 9, 15), (14,)]",17.23,1.128302
graph250,"[(), (17,)]",6.05,0.704777
graph250,"[(1,), (17,)]",9.99,1.244202
graph250,"[(1, 9), (17,)]",11.83,1.450778
graph250,"[(1, 9, 8), (17,)]",12.91,1.395151
graph250,"[(1, 9, 8, 13), (17,)]",13.62,1.378209
graph250,"[(1, 9, 8, 13, 2), (17,)]",14.08,1.429381
graph250,"[(1, 9, 8, 13, 2, 6), (17,)]",14.61,1.280494
graph250,"[(1, 9, 8, 13, 2, 6, 14), (17,)]",15.24,1.235946
graph250,"[(1, 9, 8, 13, 2, 6, 14, 0), (17,)]",16.22,1.289819
graph250,"[(1, 9, 8, 13, 2, 6, 14, 0, 5), (17,)]",16.64,1.263344
