graph,seed,INF,time
g0,"[(17, 14, 19, 18, 15, 13, 0), (3, 4, 12, 8)]",18.66,1.437994
g0,"[(17, 14, 19, 0, 16, 13), (3, 4, 12, 2, 8)]",18.78,1.347166
g0,"[(17, 19, 14, 18, 8), (3, 12, 4, 0, 15, 16)]",18.75,1.423922
g0,"[(17, 14, 19, 13, 16), (3, 12, 4, 18, 0, 2)]",18.71,1.89079
g0,"[(17, 14, 19, 0, 2, 9), (3, 12, 18, 4, 13)]",18.82,1.278082
g0,"[(17, 4, 19, 14, 16, 0), (3, 18, 15, 12, 13)]",18.73,1.993022
g0,"[(17, 14, 19, 0, 16), (3, 4, 12, 15, 6, 13)]",18.79,1.779633
g0,"[(17, 19, 14, 4, 18, 0, 16), (3, 12, 6, 8)]",18.72,1.433298
g0,"[(17, 0, 14, 19, 9), (3, 12, 4, 13, 15, 10)]",18.69,1.296404
g0,"[(17, 14, 19, 16, 2, 0, 18), (3, 4, 12, 10)]",18.74,1.304844
g0,"[(2,), (8,)]",7.14,0.977494
g0,"[(14,), (0,)]",10.28,1.199285
g0,"[(19,), (17,)]",9.73,1.252358
g0,"[(18,), (14,)]",8.44,1.126255
g0,"[(3,), (14,)]",11.89,1.353505
g0,"[(17,), (1,)]",10.58,1.286474
g0,"[(0,), (16,)]",7.63,0.947337
g0,"[(11,), (16,)]",3.75,0.671782
g0,"[(13,), (5,)]",6.24,0.880688
g0,"[(12,), (14,)]",9.22,1.143571
g0,"[(9,), (15,)]",6.69,0.958131
g0,"[(5,), (12,)]",9.03,1.10972
g0,"[(0,), (16,)]",7.68,0.982444
g0,"[(8,), (19,)]",8.74,1.101185
g0,"[(19,), (7,)]",8.76,1.095871
g0,"[(10,), (18,)]",6.73,0.92326
g0,"[(7,), (15,)]",7.62,0.986628
g0,"[(4,), (9,)]",7.84,1.029281
g0,"[(12,), (2,)]",7.27,0.975105
g0,"[(6,), (4,)]",9.2,1.177927
g0,"[(4,), (1,)]",9.0,1.13226
g0,"[(1,), (19,)]",8.99,1.12104
g0,"[(15,), (4,)]",7.91,0.987071
g0,"[(15,), (18,)]",6.75,0.920478
g0,"[(1,), (15,)]",8.08,1.073596
g0,"[(13,), (12,)]",8.13,1.017418
g0,"[(6,), (3,)]",12.55,1.319199
g0,"[(4,), (2,)]",7.32,0.991395
g0,"[(3,), (5,)]",10.56,1.248632
g0,"[(1,), (9,)]",8.67,1.118388
